pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocity,roll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,wheel_rgt,wheel_lft,aclCmd,brakeCmd,clutchCmd,geraCmd
50,7,0.3,0,0,0,0,0,23.6272,0.0472545,0,0,0,0,0,0,0,1.12403,0,0,0,-0,0,0,0,0
50.02,7,0.3,0,0,0,0,0,12.4261,0.0248523,0,0,0,0,0,0,0,-0.868349,0,0,0,-0,0,1,0,0
50.04,7,0.3,0,0,0,0,0,7.06485,0.0141297,0,0,0,0,0,0,0,-0.698005,0,0,0,-0,0,1,0,0
50.06,7,0.3,0,0,0,0,0,2.50948,0.00501896,0,0,0,0,0,0,0,-0.550665,0,0,0,-0,0,1,0,0
50.08,7,0.3,0,0,0,0,0,-1.32865,0.0026573,0,0,0,0,0,0,0,-0.424075,0,0,0,-0,0,1,0,0
50.1,7,0.3,0,0,0,0,0,-4.53195,0.00906391,0,0,0,0,0,0,0,-0.316108,0,0,0,-0,0,1,0,0
50.12,7,0.3,0,0,0,0,0,-7.17647,0.0143529,0,0,0,0,0,0,0,-0.224743,0,0,0,-0,0,1,0,0
50.14,7,0.3,0,0,0,0,0,-9.33199,0.018664,0,0,0,0,0,0,0,-0.148125,0,0,0,-0,0,1,0,0
50.16,7,0.3,0,0,0,0,0,-9.80665,0.0196133,0,0,0,0,0,0,0,0,0,0,0,-0,0,1,0,0
50.18,7,0.3,0,0,0,0,0,-4.49011,0.00898023,0,0,0,0,0,0,-5.7313e-06,-3.95357,0,0,0,-0,0,1,0,0
50.2,7,0.3,0,0,0,0,0,3.79982,0.00759963,0,0,0,0,0,0,1.21369e-05,-6.13565,0,0,0,-0,0,1,0,0
50.22,7,0.3,0,0,0,0,0,11.7869,0.0235738,0,0,0,0,0,0,2.22509e-05,0.562005,0,0,0,-0,0,1,0,0
50.24,7,0.3,0,0,0,0,0,11.7869,0.0235737,0,0,0,0,0,0,0,0.562029,0,0,0,-0,0,1,0,0
50.26,7,0.3,0,0,0,0,0,11.7868,0.0235737,0,0,0,0,0,0,-2.22509e-05,0.562004,0,0,0,-0,0,1,0,0
50.28,7,0.3,0,0,0,0,0,11.7869,0.0235737,0,0,0,0,0,0,0,0.562016,0,0,0,-0,0,1,0,0
50.3,7,0.3,0,0,0,0,0,11.7869,0.0235738,0,0,0,0,0,0,-2.22509e-05,0.562005,0,0,0,-0,0,1,0,0
50.32,7,0.3,0,0,0,0,0,11.7869,0.0235737,0,0,0,0,0,0,1.21369e-05,0.562022,0,0,0,-0,0,1,0,0
50.34,7,0.3,0,0,0,0,0,11.7869,0.0235737,0,0,0,0,0,0,-1.21369e-05,0.562023,0,0,0,-0,0,1,0,0
50.36,7,0.3,0,0,0,0,0,11.7869,0.0235737,0,0,0,0,0,0,3.43878e-05,0.562011,0,0,0,-0,0,1,0,0
50.38,7,0.3,0,0,0,0,0,11.7868,0.0235737,0,0,0,0,0,0,-2.22509e-05,0.562004,0,0,0,-0,0,1,0,0
