pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocity,roll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,wheel_rgt,wheel_lft,aclCmd,brakeCmd,clutchCmd,geraCmd
36.3279,17.0834,0.200113,0,0,0.0567176,0,0,28.3588,0.0567176,0,5.42011e-06,-0.499996,0,0.00271005,0,0,1.35503,0,0,0,-0,0,0,0,0
36.3279,17.0834,0.20034,-2.01109e-07,0,0.113344,5.31531e-05,0,28.313,0.113344,0,1.62074e-05,-0.499996,0,0.00542011,0,0,1.35503,0,0,0,-0,0,1,0,0
36.3279,17.0834,0.20068,-1.10574e-06,-5.68434e-14,0.16997,0.000159022,0,28.313,0.16997,0,3.23093e-05,-0.499996,0,0.00813016,0,0,1.35503,0,0,0,-0,0,1,0,0
36.3281,17.0833,0.201133,0.0983598,1.11759e-08,0.226596,49.1818,6.57641e-06,28.313,0.247023,1.72025e-11,3.48383e-05,-0.499996,8.60123e-09,0.00142275,1.58727e-09,4.30062e-06,-3.35371,7.93635e-07,0,0,-0,0,1,0,0
36.3282,17.0833,0.2017,0.091719,1.86313e-08,0.283229,-3.32008,3.30621e-06,28.3168,0.29771,4.01391e-11,4.40293e-05,-0.499996,1.14683e-08,0.00476668,-2.97931e-09,1.43354e-06,1.67196,-2.28329e-06,0,0,-0,0,1,0,0
36.328,17.0834,0.202379,-0.118246,1.36419e-11,0.339861,-104.981,-7.21918e-06,28.3152,0.359843,5.16074e-11,9.89558e-05,-0.499996,5.73416e-09,0.0276788,-1.56715e-08,-2.86708e-06,11.4561,-6.3461e-06,0,0,-0,0,1,0,0
36.3278,17.0835,0.203172,-0.112687,-3.70483e-09,0.396485,2.78845,-3.81523e-06,28.3155,0.412188,5.16074e-11,0.000157696,-0.499996,0,0.0298539,-2.05907e-08,-2.86708e-06,1.08753,-2.45959e-06,0,0,-0,0,1,0,0
36.328,17.0834,0.204079,0.108342,-7.4272e-09,0.453108,110.526,6.96893e-07,28.3147,0.465881,5.16074e-11,0.000178409,-0.499996,0,0.011139,-1.7375e-08,0,-9.35748,1.60786e-06,0,0,-0,0,1,0,0
36.3282,17.0833,0.205098,0.108315,-3.69898e-09,0.509739,-0.00896752,7.34695e-07,28.3142,0.52112,5.16074e-11,0.000204307,-0.499996,0,0.013849,-1.40944e-08,0,1.35503,1.6403e-06,0,0,-0,0,1,0,0
36.328,17.0834,0.206231,-0.112738,-1.11466e-08,0.56637,-110.52,3.96932e-07,28.314,0.577481,5.16074e-11,0.000278622,-0.499996,0,0.0381874,-1.08916e-08,0,12.1692,1.60136e-06,0,0,-0,0,1,0,0
36.3278,17.0835,0.207477,-0.112757,-7.41843e-09,0.622989,0.0116604,6.29954e-07,28.3139,0.633111,5.16074e-11,0.000357607,-0.499996,0,0.0408975,-9.33355e-09,0,1.35503,7.79047e-07,0,0,-0,0,1,0,0
36.328,17.0834,0.208836,0.108241,-3.69022e-09,0.679608,110.524,5.80938e-07,28.3137,0.688173,5.16074e-11,0.000397387,-0.499996,0,0.0217273,-9.31489e-09,0,-9.58512,9.33355e-09,0,0,-0,0,1,0,0
36.3282,17.0833,0.210308,0.108208,-7.41259e-09,0.736239,-0.00334981,2.98003e-07,28.3135,0.744148,5.16074e-11,0.000442101,-0.499996,0,0.0244373,-5.19865e-09,0,1.35502,2.05812e-06,0,0,-0,0,1,0,0
36.328,17.0834,0.211894,-0.112854,3.76621e-09,0.792871,-110.515,3.68043e-07,28.3135,0.800862,4.58732e-11,0.000536114,-0.499996,-2.86708e-09,0.0493268,-8.36279e-09,-1.43354e-06,12.4448,-1.58207e-06,0,0,-0,0,1,0,0
36.3278,17.0835,0.213593,-0.112905,3.89715e-11,0.849487,0.0117057,4.12791e-07,28.3134,0.856957,4.01391e-11,0.000634542,-0.499996,-2.86708e-09,0.0520369,-9.60744e-09,0,1.35503,-6.22321e-07,0,0,-0,0,1,0,0
36.328,17.0834,0.215405,0.10806,-7.41421e-09,0.906103,110.524,3.48238e-07,28.3134,0.912523,3.44049e-11,0.000692157,-0.499996,-2.86708e-09,0.0322197,-9.58822e-09,0,-9.90857,9.60744e-09,0,0,-0,0,1,0,0
36.3282,17.0833,0.217331,0.10801,-7.41746e-09,0.962735,0.00132457,4.50787e-07,28.3133,0.968775,2.86708e-11,0.000754414,-0.499996,-2.86708e-09,0.0349298,-7.98914e-09,0,1.35502,7.99542e-07,0,0,-0,0,1,0,0
36.328,17.0834,0.21937,-0.113069,-1.11466e-08,1.01937,-110.51,5.51731e-07,28.3133,1.02562,2.29366e-11,0.00086721,-0.499996,-2.86708e-09,0.060562,-7.97316e-09,0,12.8161,7.98914e-09,0,0,-0,0,1,0,0
36.3278,17.0835,0.221522,-0.113157,-7.4259e-09,1.07598,0.0135473,4.45774e-07,28.3133,1.08192,1.72025e-11,0.000984128,-0.499996,-2.86708e-09,0.063272,-6.50277e-09,0,1.35503,7.35197e-07,0,0,-0,0,1,0,0
