pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocity,roll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,wheel_rgt,wheel_lft,aclCmd,brakeCmd,clutchCmd,geraCmd
36.3279,17.0834,0.202836,0,0,0.283588,0,0,28.3588,0.283588,0,0.000135503,-0.499996,0,0.0135503,0,0,1.35503,0,0,0,-0,0,0,0,0
36.3279,17.0834,0.208503,-2.51387e-05,1.81899e-12,0.566718,0.00132883,0,28.313,0.566718,0,0.000405185,-0.499996,0,0.0271005,0,0,1.35503,0,0,0,-0,0,1,0,0
36.3322,17.0811,0.217,0.491677,-8.9407e-08,0.849848,49.1855,-6.57641e-06,28.313,0.981829,-4.30062e-10,0.000318342,-0.499996,-4.30062e-08,-0.00827789,-7.93635e-09,-4.30062e-06,-3.53784,-7.93635e-07,0,0,-0,0,1,0,0
36.3363,17.0789,0.228328,0.458528,-1.04795e-07,1.13299,-3.3222,-1.6403e-06,28.3185,1.22226,-1.14683e-09,0.000401945,-0.499996,-7.16769e-08,0.00869649,2.78566e-08,-2.86708e-06,1.69744,3.57929e-06,0,0,-0,0,1,0,0
36.3311,17.0817,0.242492,-0.591374,-4.63279e-08,1.41619,-104.981,8.66157e-06,28.3159,1.5347,-1.29018e-09,0.00176435,-0.499996,-1.43354e-08,0.136618,1.06942e-07,5.73416e-06,12.7921,7.90849e-06,0,0,-0,0,1,0,0
36.3261,17.0844,0.259488,-0.565228,-2.19272e-09,1.69855,2.80749,3.83399e-06,28.3166,1.79012,-1.14683e-09,0.0032191,-0.499996,1.43354e-08,0.146995,1.24548e-07,2.86708e-06,1.03769,1.7607e-06,0,0,-0,0,1,0,0
36.3309,17.0818,0.279279,0.537885,-4.69732e-08,1.98088,110.558,-2.61124e-07,28.3154,2.05261,-8.60123e-10,0.00341444,-0.499996,2.86708e-08,0.0236208,9.15576e-08,1.43354e-06,-12.3374,-3.29909e-06,0,0,-0,0,1,0,0
36.3357,17.0792,0.301902,0.53771,-4.66493e-08,2.26412,0.0211789,2.29581e-07,28.314,2.3271,-5.73415e-10,0.00372851,-0.499996,2.86708e-08,0.03717,7.12894e-08,0,1.35491,-2.02682e-06,0,0,-0,0,1,0,0
36.3315,17.0815,0.326798,-0.486999,-6.10322e-08,2.48778,-102.4,6.97255e-07,22.3494,2.535,-2.86708e-10,0.00526883,-0.499996,2.86708e-08,0.159897,6.26402e-08,0,12.2727,-8.64924e-07,0,0,-0,0,1,0,0
36.3253,17.0849,0.35214,-0.721813,-9.01336e-08,2.53047,-23.0983,1.38255e-07,4.34424,2.63141,2.86708e-10,0.00714289,-0.499996,5.73416e-08,0.190713,5.01093e-08,2.86708e-06,3.0816,-1.25309e-06,0,0,-0,0,1,0,0
36.3222,17.0865,0.377024,-0.366576,-5.88912e-08,2.48583,35.9978,-1.42846e-08,-4.32862,2.51271,4.30062e-10,0.00840259,-0.499996,1.43354e-08,0.12597,5.75445e-08,-4.30062e-06,-6.47427,7.43526e-07,0,0,-0,0,1,0,0
36.3207,17.0874,0.401221,-0.191971,-7.34652e-08,2.41816,17.7736,-9.23718e-07,-6.72053,2.42577,5.57876e-10,0.00913351,-0.499996,1.27815e-08,0.0730921,6.58975e-08,-1.55393e-07,-5.28781,8.35295e-07,0,0,-0,0,1,0,0
36.3207,17.0874,0.425107,-0.0298506,6.92051e-09,2.38848,16.3888,7.9002e-06,-2.95351,2.38867,1.11575e-09,0.00998988,-0.499996,5.57876e-08,0.0856365,-2.20614e-08,4.30062e-06,1.25443,-8.79588e-06,0,0,-0,0,1,0,0
36.3215,17.0869,0.448003,0.0742438,9.56868e-08,2.2904,10.614,8.76279e-06,-9.80616,2.2916,2.22811e-09,0.0106262,-0.499996,1.11236e-07,0.0636345,-9.94394e-08,5.54481e-06,-2.2002,-7.7378e-06,0,0,-0,0,1,0,0
36.3224,17.0865,0.469917,0.0738283,9.80151e-08,2.19238,0.104201,-2.185e-08,-9.80611,2.19362,3.34047e-09,0.0112626,-0.499996,1.11236e-07,0.0636344,-1.0109e-07,1.62424e-13,-2.01169e-06,-1.6505e-07,0,0,-0,0,1,0,0
36.3232,17.086,0.490851,0.0735376,1.00125e-07,2.09437,0.110441,-3.27588e-08,-9.80604,2.09566,4.45282e-09,0.0118989,-0.499996,1.11236e-07,0.0636344,-1.0109e-07,0,-1.91477e-06,0,0,0,-0,0,1,0,0
36.3241,17.0855,0.510805,0.0733717,9.82919e-08,1.99635,0.116681,-4.36673e-08,-9.80597,1.9977,5.56518e-09,0.0125353,-0.499996,1.11236e-07,0.0636344,-1.0109e-07,0,-1.8957e-06,0,0,0,-0,0,1,0,0
36.3249,17.0851,0.529091,0.0733305,1.03309e-07,1.82973,0.122921,-5.45758e-08,-16.6668,1.8312,6.67754e-09,0.0127317,-0.499996,1.11236e-07,0.0196421,-1.0109e-07,0,-4.39923,0,0,0,-0,0,1,0,0
36.3258,17.0846,0.546398,0.0742196,1.00963e-07,1.73169,0.124847,-6.54843e-08,-9.80587,1.73328,7.78989e-09,0.0129281,-0.499996,1.11236e-07,0.0196421,-1.0109e-07,0,-1.88603e-06,0,0,0,-0,0,1,0,0
36.3266,17.0842,0.562723,0.0751471,1.02124e-07,1.63364,0.126773,-7.63928e-08,-9.80584,1.63537,8.90225e-09,0.0131245,-0.499996,1.11236e-07,0.0196421,-1.0109e-07,0,-1.93356e-06,0,0,0,-0,0,1,0,0
