time,x,y,z,angle,steerValue,wheelAngle
0.020,2.500,0.100,0.000,0.000,0.000,0.000
0.020,2.500,0.100,0.000,0.000,0.000,0.000
0.040,2.500,0.096,0.000,0.000,0.000,0.000
0.069,2.500,0.083,0.000,0.000,0.000,0.000
0.071,2.500,0.081,0.000,0.000,0.000,0.000
0.074,2.500,0.080,0.000,0.000,0.000,0.000
0.078,2.500,0.078,0.000,0.000,0.000,0.000
0.088,2.500,0.070,0.000,0.000,0.000,0.000
0.096,2.500,0.064,0.000,0.000,0.000,0.000
0.100,2.500,0.061,0.000,0.000,0.000,0.000
0.105,2.500,0.057,0.000,0.000,0.000,0.000
0.109,2.500,0.054,0.000,0.000,0.000,0.000
0.114,2.500,0.050,0.000,0.000,0.000,0.000
0.117,2.500,0.048,0.000,0.000,0.000,0.000
0.124,2.500,0.043,0.000,0.000,0.000,0.000
0.128,2.500,0.041,0.000,0.000,0.000,0.000
0.133,2.500,0.038,0.000,0.000,0.000,0.000
0.136,2.500,0.036,0.000,0.000,0.000,0.000
0.143,2.500,0.032,0.000,0.000,0.000,0.000
0.145,2.500,0.030,0.000,0.000,0.000,0.000
0.151,2.500,0.027,0.000,0.000,0.000,0.000
0.156,2.500,0.024,0.000,0.000,0.000,0.000
0.161,2.500,0.021,0.000,0.000,0.000,0.000
0.166,2.500,0.019,0.000,0.000,0.000,0.000
0.168,2.500,0.017,0.000,0.000,0.000,0.000
0.173,2.500,0.015,0.000,0.000,0.000,0.000
0.178,2.500,0.013,0.000,0.000,0.000,0.000
0.181,2.500,0.011,0.000,0.000,0.000,0.000
0.186,2.500,0.009,0.000,0.000,0.000,0.000
0.191,2.500,0.007,0.000,0.000,0.000,0.000
0.194,2.500,0.006,0.000,0.000,0.000,0.000
0.199,2.500,0.004,0.000,0.000,0.000,0.000
0.202,2.500,0.002,0.000,0.000,0.000,0.000
0.207,2.500,0.001,0.000,0.000,0.000,0.000
0.212,2.500,-0.001,0.000,0.000,0.000,0.000
0.214,2.500,-0.002,0.000,0.000,0.000,0.000
0.219,2.500,-0.004,0.000,0.000,0.000,0.000
0.224,2.500,-0.005,0.000,0.000,0.000,0.000
0.227,2.500,-0.006,0.000,0.000,0.000,0.000
0.232,2.500,-0.008,0.000,0.000,0.000,0.000
0.234,2.500,-0.008,0.000,0.000,0.000,0.000
0.239,2.500,-0.010,0.000,0.000,0.000,0.000
0.244,2.500,-0.011,0.000,0.000,0.000,0.000
0.247,2.500,-0.012,0.000,0.000,0.000,0.000
0.250,2.500,-0.013,0.000,0.000,0.000,0.000
0.255,2.500,-0.014,0.000,0.000,0.000,0.000
0.260,2.500,-0.015,0.000,0.000,0.000,0.000
0.262,2.500,-0.016,0.000,0.000,0.000,0.000
0.267,2.500,-0.017,0.000,0.000,0.000,0.000
0.270,2.500,-0.017,0.000,0.000,0.000,0.000
0.275,2.500,-0.018,0.000,0.000,0.000,0.000
0.278,2.500,-0.019,0.000,0.000,0.000,0.000
0.284,2.500,-0.020,0.000,0.000,0.000,0.000
0.287,2.500,-0.020,0.000,0.000,0.000,0.000
0.292,2.500,-0.021,0.000,0.000,0.000,0.000
0.295,2.500,-0.022,0.000,0.000,0.000,0.000
0.302,2.500,-0.023,0.000,0.000,0.000,0.000
0.304,2.500,-0.023,0.000,0.000,0.000,0.000
0.307,2.500,-0.023,0.000,0.000,0.000,0.000
0.312,2.500,-0.024,0.000,0.000,0.000,0.000
0.315,2.500,-0.024,0.000,0.000,0.000,0.000
0.320,2.500,-0.025,0.000,0.000,0.000,0.000
0.325,2.500,-0.025,0.000,0.000,0.000,0.000
0.328,2.500,-0.026,0.000,0.000,0.000,0.000
0.333,2.500,-0.026,0.000,0.000,0.000,0.000
0.336,2.500,-0.026,0.000,0.000,0.000,0.000
0.341,2.500,-0.027,0.000,0.000,0.000,0.000
0.343,2.500,-0.027,0.000,0.000,0.000,0.000
0.349,2.500,-0.027,0.000,0.000,0.000,0.000
0.352,2.500,-0.027,0.000,0.000,0.000,0.000
0.357,2.500,-0.027,0.000,0.000,0.000,0.000
0.362,2.500,-0.028,0.000,0.000,0.000,0.000
0.365,2.500,-0.028,0.000,0.000,0.000,0.000
0.370,2.500,-0.028,0.000,0.000,0.000,0.000
0.373,2.500,-0.028,0.000,0.000,0.000,0.000
0.377,2.500,-0.028,0.000,0.000,0.000,0.000
0.380,2.500,-0.028,0.000,0.000,0.000,0.000
0.383,2.500,-0.028,0.000,0.000,0.000,0.000
0.388,2.500,-0.028,0.000,0.000,0.000,0.000
0.393,2.500,-0.028,0.000,0.000,0.000,0.000
0.397,2.500,-0.028,0.000,0.000,0.000,0.000
0.401,2.500,-0.028,0.000,0.000,0.000,0.000
0.407,2.500,-0.028,0.000,0.000,0.000,0.000
0.409,2.500,-0.028,0.000,0.000,0.000,0.000
0.413,2.500,-0.028,0.000,0.000,0.000,0.000
0.416,2.500,-0.028,0.000,0.000,0.000,0.000
0.421,2.500,-0.028,0.000,0.000,0.000,0.000
0.424,2.500,-0.028,0.000,0.000,0.000,0.000
0.428,2.500,-0.028,0.000,0.000,0.000,0.000
0.433,2.500,-0.028,0.000,0.000,0.000,0.000
0.437,2.500,-0.027,0.000,0.000,0.000,0.000
0.441,2.500,-0.027,0.000,0.000,0.000,0.000
0.446,2.500,-0.027,0.000,0.000,0.000,0.000
0.448,2.500,-0.027,0.000,0.000,-0.012,-0.557
0.453,2.500,-0.027,0.000,0.000,-0.012,-0.557
0.456,2.500,-0.027,0.000,0.000,-0.012,-0.557
0.462,2.500,-0.026,0.000,0.000,-0.012,-0.557
0.465,2.500,-0.026,0.000,0.000,-0.012,-0.557
0.470,2.500,-0.026,0.000,0.000,-0.012,-0.557
0.473,2.500,-0.026,0.000,0.000,-0.012,-0.557
0.480,2.500,-0.025,0.000,0.000,-0.012,-0.557
0.483,2.500,-0.025,0.000,0.000,-0.012,-0.557
0.487,2.500,-0.025,0.000,0.000,-0.012,-0.557
0.490,2.500,-0.025,0.000,0.000,-0.012,-0.557
0.494,2.500,-0.024,0.000,0.000,-0.012,-0.557
0.497,2.500,-0.024,0.000,0.000,-0.012,-0.553
0.502,2.500,-0.024,0.000,0.000,-0.012,-0.553
0.507,2.500,-0.024,0.000,0.000,-0.012,-0.553
0.511,2.500,-0.023,0.000,0.000,-0.012,-0.553
0.516,2.500,-0.023,0.000,0.000,-0.012,-0.552
0.519,2.500,-0.023,0.000,0.000,-0.012,-0.550
0.524,2.500,-0.022,0.000,0.000,-0.012,-0.550
0.528,2.500,-0.022,0.000,0.000,-0.012,-0.546
0.532,2.500,-0.022,0.000,0.000,-0.012,-0.544
0.537,2.500,-0.021,0.000,0.000,-0.012,-0.542
0.542,2.500,-0.021,0.000,0.000,-0.012,-0.542
0.546,2.500,-0.021,0.000,0.000,-0.012,-0.539
0.551,2.500,-0.020,0.000,0.000,-0.012,-0.539
0.553,2.500,-0.020,0.000,0.000,-0.012,-0.537
0.558,2.500,-0.020,0.000,0.000,-0.012,-0.537
0.561,2.500,-0.020,0.000,0.000,-0.012,-0.537
0.564,2.500,-0.019,0.000,0.000,-0.012,-0.537
0.569,2.500,-0.019,0.000,0.000,-0.012,-0.537
0.574,2.500,-0.019,0.000,0.000,-0.012,-0.537
0.577,2.500,-0.018,0.000,0.000,-0.012,-0.537
0.580,2.500,-0.018,0.000,0.000,-0.012,-0.537
0.585,2.500,-0.018,0.000,0.000,-0.012,-0.537
0.587,2.500,-0.018,0.000,0.000,-0.012,-0.537
0.592,2.500,-0.017,0.000,0.000,-0.012,-0.537
0.595,2.500,-0.017,0.000,0.000,-0.012,-0.537
0.602,2.500,-0.016,0.000,0.000,-0.012,-0.537
0.604,2.500,-0.016,0.000,0.000,-0.012,-0.537
0.609,2.500,-0.016,0.000,0.000,-0.012,-0.537
0.612,2.500,-0.016,0.000,0.000,-0.012,-0.537
0.617,2.500,-0.015,0.000,0.000,-0.012,-0.537
0.620,2.500,-0.015,0.000,0.000,-0.012,-0.537
0.625,2.500,-0.015,0.000,0.000,-0.012,-0.537
0.628,2.500,-0.014,0.000,0.000,-0.012,-0.537
0.634,2.500,-0.014,0.000,0.000,-0.012,-0.537
0.636,2.500,-0.014,0.000,0.000,-0.012,-0.537
0.641,2.500,-0.013,0.000,0.000,-0.012,-0.537
0.646,2.500,-0.013,0.000,0.000,-0.012,-0.537
0.651,2.500,-0.013,0.000,0.000,-0.012,-0.537
0.654,2.500,-0.012,0.000,0.000,-0.012,-0.537
0.659,2.500,-0.012,0.000,0.000,-0.012,-0.537
0.662,2.500,-0.012,0.000,0.000,-0.012,-0.537
0.667,2.500,-0.012,0.000,0.000,-0.012,-0.537
0.670,2.500,-0.011,0.000,0.000,-0.012,-0.537
0.675,2.500,-0.011,0.000,0.000,-0.012,-0.537
0.678,2.500,-0.011,0.000,0.000,-0.012,-0.537
0.682,2.500,-0.011,0.000,0.000,-0.012,-0.537
0.685,2.500,-0.010,0.000,0.000,-0.012,-0.537
0.690,2.500,-0.010,0.000,0.000,-0.012,-0.537
0.693,2.500,-0.010,0.000,0.000,-0.012,-0.537
0.698,2.500,-0.009,0.000,0.000,-0.012,-0.537
0.701,2.500,-0.009,0.000,0.000,-0.012,-0.537
0.706,2.500,-0.009,0.000,0.000,-0.012,-0.537
0.709,2.500,-0.009,0.000,0.000,-0.012,-0.537
0.713,2.500,-0.009,0.000,0.000,-0.012,-0.537
0.716,2.500,-0.008,0.000,0.000,-0.012,-0.537
0.721,2.500,-0.008,0.000,0.000,-0.012,-0.537
0.723,2.500,-0.008,0.000,0.000,-0.012,-0.537
0.728,2.500,-0.008,0.000,0.000,-0.012,-0.537
0.730,2.500,-0.008,0.000,0.000,-0.012,-0.537
0.734,2.500,-0.007,0.000,0.000,-0.012,-0.537
0.736,2.500,-0.007,0.000,0.000,-0.012,-0.537
0.742,2.500,-0.007,0.000,0.000,-0.012,-0.537
0.744,2.500,-0.007,0.000,0.000,-0.012,-0.537
0.748,2.500,-0.006,0.000,0.000,-0.012,-0.537
0.750,2.500,-0.006,0.000,0.000,-0.012,-0.537
0.754,2.500,-0.006,0.000,0.000,-0.012,-0.537
