time,x,y,z,angle,steerValue,wheelAngle
4.448,2.500,0.100,0.000,0.000,0.000,0.000
4.448,2.500,0.100,0.000,0.000,0.000,0.000
4.468,2.500,0.098,0.000,0.000,0.000,-0.012
4.482,2.500,0.095,0.000,0.000,0.000,-0.012
4.501,2.500,0.087,0.000,0.000,0.000,-0.012
4.524,2.500,0.073,0.000,0.000,0.000,-0.012
4.535,2.500,0.065,0.000,0.000,0.000,-0.012
4.546,2.500,0.056,0.000,0.000,0.000,-0.012
4.557,2.500,0.048,0.000,0.000,0.000,-0.012
4.569,2.500,0.041,0.000,0.000,0.000,-0.012
4.580,2.500,0.033,0.000,0.000,0.000,-0.012
4.591,2.500,0.027,0.000,0.000,0.000,-0.012
4.602,2.500,0.021,0.000,0.000,0.000,-0.012
4.613,2.500,0.015,0.000,0.000,0.000,-0.012
4.624,2.500,0.010,0.000,0.000,0.000,-0.012
4.635,2.500,0.005,0.000,0.000,0.000,-0.012
4.647,2.500,0.001,0.000,0.000,0.000,-0.012
4.658,2.500,-0.003,0.000,0.000,0.000,-0.012
4.669,2.500,-0.007,0.000,0.000,0.000,-0.012
4.680,2.500,-0.010,0.000,0.000,0.000,-0.012
4.691,2.500,-0.013,0.000,0.000,0.000,-0.012
4.702,2.500,-0.016,0.000,0.000,0.000,-0.012
4.714,2.500,-0.018,0.000,0.000,0.000,-0.012
4.725,2.500,-0.020,0.000,0.000,0.000,-0.012
4.736,2.500,-0.022,0.000,0.000,0.000,-0.012
4.747,2.500,-0.023,0.000,0.000,0.000,-0.012
4.758,2.500,-0.025,0.000,0.000,0.000,-0.012
4.769,2.500,-0.026,0.000,0.000,0.000,-0.012
4.781,2.500,-0.027,0.000,0.000,0.000,-0.012
4.792,2.500,-0.027,0.000,0.000,0.000,-0.012
4.803,2.500,-0.028,0.000,0.000,0.000,-0.012
4.814,2.500,-0.028,0.000,0.000,0.000,-0.012
4.825,2.500,-0.028,0.000,0.000,0.000,-0.012
4.836,2.500,-0.028,0.000,0.000,0.000,-0.012
4.848,2.500,-0.028,0.000,0.000,0.000,-0.012
4.859,2.500,-0.028,0.000,0.000,0.000,-0.012
4.870,2.500,-0.028,0.000,0.000,0.000,-0.010
4.881,2.500,-0.027,0.000,0.000,0.000,-0.005
4.892,2.500,-0.027,0.000,0.000,0.000,0.001
4.903,2.500,-0.026,0.000,0.000,0.000,0.003
4.915,2.500,-0.026,0.000,0.000,0.000,0.012
4.926,2.500,-0.025,0.000,0.000,0.001,0.023
4.939,2.500,-0.024,0.000,0.000,0.001,0.032
4.950,2.500,-0.023,0.000,0.000,0.001,0.042
4.961,2.500,-0.023,0.000,0.000,0.001,0.053
4.973,2.500,-0.022,0.000,0.000,0.001,0.062
4.984,2.500,-0.021,0.000,0.000,0.002,0.073
4.995,2.500,-0.020,0.000,0.000,0.002,0.083
5.006,2.500,-0.019,0.000,0.000,0.002,0.088
5.017,2.500,-0.018,0.000,0.000,0.002,0.105
5.029,2.500,-0.017,0.000,0.000,0.003,0.114
5.040,2.500,-0.017,0.000,0.000,0.003,0.120
5.051,2.500,-0.016,0.000,0.000,0.003,0.129
5.062,2.500,-0.015,0.000,0.000,0.003,0.140
5.073,2.500,-0.014,0.000,0.000,0.003,0.149
5.084,2.500,-0.013,0.000,0.000,0.003,0.155
5.096,2.500,-0.012,0.000,0.000,0.004,0.168
5.107,2.500,-0.012,0.000,0.000,0.004,0.177
5.118,2.500,-0.011,0.000,0.000,0.004,0.192
5.129,2.500,-0.010,0.000,0.000,0.005,0.203
5.140,2.500,-0.009,0.000,0.000,0.005,0.218
5.151,2.500,-0.009,0.000,0.000,0.005,0.242
5.163,2.500,-0.008,0.000,0.000,0.006,0.257
5.174,2.500,-0.007,0.000,0.000,0.006,0.275
5.185,2.500,-0.007,0.000,0.000,0.007,0.316
5.196,2.500,-0.006,0.000,0.000,0.008,0.366
5.207,2.500,-0.005,0.000,0.000,0.010,0.437
5.218,2.500,-0.005,0.000,0.000,0.012,0.524
5.230,2.500,-0.004,0.000,0.000,0.014,0.616
5.241,2.500,-0.004,0.000,0.000,0.016,0.741
5.252,2.500,-0.003,0.000,0.000,0.019,0.863
5.263,2.500,-0.003,0.000,0.000,0.023,1.026
5.274,2.500,-0.003,0.000,0.000,0.027,1.202
5.286,2.500,-0.002,0.000,0.000,0.030,1.341
5.297,2.500,-0.002,0.000,0.000,0.035,1.560
5.308,2.500,-0.002,0.000,0.000,0.039,1.736
5.319,2.500,-0.001,0.000,0.000,0.043,1.938
5.330,2.500,-0.001,0.000,0.000,0.047,2.101
5.341,2.500,-0.001,0.000,0.000,0.051,2.298
5.352,2.500,0.000,0.000,0.000,0.055,2.487
5.364,2.500,0.000,0.000,0.000,0.059,2.635
5.375,2.500,0.000,0.000,0.000,0.062,2.810
5.386,2.500,0.000,0.000,0.000,0.065,2.932
5.397,2.500,0.000,0.000,0.000,0.068,3.054
5.408,2.500,0.000,0.000,0.000,0.070,3.164
5.419,2.500,0.001,0.000,0.000,0.072,3.225
5.431,2.500,0.001,0.000,0.000,0.073,3.273
5.442,2.500,0.001,0.000,0.000,0.073,3.279
5.453,2.500,0.001,0.000,0.000,0.073,3.275
5.464,2.500,0.001,0.000,0.000,0.072,3.249
5.475,2.500,0.001,0.000,0.000,0.071,3.184
5.487,2.500,0.001,0.000,0.000,0.068,3.077
5.498,2.500,0.001,0.000,0.000,0.065,2.947
5.509,2.500,0.001,0.000,0.000,0.062,2.769
5.520,2.500,0.001,0.000,0.000,0.057,2.563
5.531,2.500,0.001,0.000,0.000,0.051,2.291
5.542,2.500,0.001,0.000,0.000,0.044,1.972
5.554,2.500,0.001,0.000,0.000,0.037,1.682
5.565,2.500,0.001,0.000,0.000,0.029,1.312
5.576,2.500,0.001,0.000,0.000,0.021,0.963
