time,x,y,z,angle,steerValue,wheelAngle
0.020,2.500,0.100,0.000,0.000,0.000,0.000
0.020,2.500,0.100,0.000,0.000,0.000,0.000
0.040,2.500,0.096,0.000,0.000,0.000,0.000
0.077,2.500,0.078,0.000,0.000,0.000,0.000
0.081,2.500,0.076,0.000,0.000,0.000,0.000
0.083,2.500,0.074,0.000,0.000,0.000,0.000
0.087,2.500,0.071,0.000,0.000,0.000,0.000
0.089,2.500,0.069,0.000,0.000,0.000,0.000
0.096,2.500,0.064,0.000,0.000,0.000,0.000
0.099,2.500,0.062,0.000,0.000,0.000,0.000
0.106,2.500,0.057,0.000,0.000,0.000,0.000
0.111,2.500,0.053,0.000,0.000,0.000,0.000
0.114,2.500,0.051,0.000,0.000,0.000,0.000
0.119,2.500,0.047,0.000,0.000,0.000,0.000
0.122,2.500,0.045,0.000,0.000,0.000,0.000
0.125,2.500,0.043,0.000,0.000,0.000,0.000
0.130,2.500,0.040,0.000,0.000,0.000,0.000
0.133,2.500,0.038,0.000,0.000,0.000,0.000
0.136,2.500,0.035,0.000,0.000,0.000,0.000
0.141,2.500,0.032,0.000,0.000,0.000,0.000
0.145,2.500,0.031,0.000,0.000,0.000,0.000
0.147,2.500,0.029,0.000,0.000,0.000,0.000
0.152,2.500,0.026,0.000,0.000,0.000,0.000
0.156,2.500,0.024,0.000,0.000,0.000,0.000
0.158,2.500,0.023,0.000,0.000,0.000,0.000
0.162,2.500,0.021,0.000,0.000,0.000,0.000
0.166,2.500,0.019,0.000,0.000,0.000,0.000
0.169,2.500,0.017,0.000,0.000,0.000,0.000
0.172,2.500,0.016,0.000,0.000,0.000,0.000
0.177,2.500,0.013,0.000,0.000,0.000,0.000
0.180,2.500,0.012,0.000,0.000,0.000,0.000
0.183,2.500,0.010,0.000,0.000,0.000,0.000
0.188,2.500,0.008,0.000,0.000,0.000,0.000
0.190,2.500,0.007,0.000,0.000,0.000,0.000
0.193,2.500,0.006,0.000,0.000,0.000,0.000
0.198,2.500,0.004,0.000,0.000,0.000,0.000
0.201,2.500,0.003,0.000,0.000,0.000,0.000
0.204,2.500,0.002,0.000,0.000,0.000,0.000
0.209,2.500,0.000,0.000,0.000,0.000,0.000
0.212,2.500,-0.001,0.000,0.000,0.000,0.000
0.215,2.500,-0.002,0.000,0.000,0.000,0.000
0.220,2.500,-0.004,0.000,0.000,0.000,0.000
0.223,2.500,-0.005,0.000,0.000,0.000,0.000
0.226,2.500,-0.006,0.000,0.000,0.000,0.000
0.231,2.500,-0.007,0.000,0.000,0.000,0.000
0.234,2.500,-0.008,0.000,0.000,0.000,0.000
0.237,2.500,-0.009,0.000,0.000,0.000,0.000
0.242,2.500,-0.011,0.000,0.000,0.000,0.000
0.245,2.500,-0.011,0.000,0.000,0.000,0.000
0.248,2.500,-0.012,0.000,0.000,0.000,0.000
0.251,2.500,-0.013,0.000,0.000,0.000,0.000
0.256,2.500,-0.014,0.000,0.000,0.000,0.000
0.259,2.500,-0.015,0.000,0.000,0.000,0.000
0.262,2.500,-0.016,0.000,0.000,0.000,0.000
0.267,2.500,-0.017,0.000,0.000,0.000,0.000
0.269,2.500,-0.017,0.000,0.000,0.000,0.000
0.272,2.500,-0.018,0.000,0.000,0.000,0.000
0.277,2.500,-0.019,0.000,0.000,0.000,0.000
0.280,2.500,-0.019,0.000,0.000,0.000,0.000
0.283,2.500,-0.020,0.000,0.000,0.000,0.000
0.288,2.500,-0.021,0.000,0.000,0.000,0.000
0.291,2.500,-0.021,0.000,0.000,0.000,0.000
0.294,2.500,-0.022,0.000,0.000,0.000,0.000
0.299,2.500,-0.022,0.000,0.000,0.000,0.000
0.301,2.500,-0.023,0.000,0.000,0.000,0.000
0.304,2.500,-0.023,0.000,0.000,0.000,0.000
0.309,2.500,-0.024,0.000,0.000,0.000,0.000
0.312,2.500,-0.024,0.000,0.000,0.000,0.000
0.315,2.500,-0.024,0.000,0.000,0.000,0.000
0.318,2.500,-0.025,0.000,0.000,0.000,0.000
0.323,2.500,-0.025,0.000,0.000,0.000,0.000
0.325,2.500,-0.025,0.000,0.000,0.000,0.000
0.328,2.500,-0.026,0.000,0.000,0.000,0.000
0.333,2.500,-0.026,0.000,0.000,0.000,0.000
0.336,2.500,-0.026,0.000,0.000,0.000,0.000
0.339,2.500,-0.027,0.000,0.000,0.000,0.000
0.344,2.500,-0.027,0.000,0.000,0.000,0.000
0.347,2.500,-0.027,0.000,0.000,0.000,0.000
0.350,2.500,-0.027,0.000,0.000,0.000,0.000
0.355,2.500,-0.027,0.000,0.000,0.000,0.000
0.357,2.500,-0.027,0.000,0.000,0.000,0.000
0.361,2.500,-0.028,0.000,0.000,0.000,0.000
0.365,2.500,-0.028,0.000,0.000,0.000,0.000
0.368,2.500,-0.028,0.000,0.000,0.000,0.000
0.371,2.500,-0.028,0.000,0.000,0.000,0.000
0.376,2.500,-0.028,0.000,0.000,0.000,0.000
0.379,2.500,-0.028,0.000,0.000,0.000,0.000
0.382,2.500,-0.028,0.000,0.000,0.000,0.000
0.387,2.500,-0.028,0.000,0.000,0.000,0.000
0.390,2.500,-0.028,0.000,0.000,0.000,0.000
0.393,2.500,-0.028,0.000,0.000,0.000,0.000
0.396,2.500,-0.028,0.000,0.000,0.000,0.000
0.401,2.500,-0.028,0.000,0.000,0.000,0.000
0.404,2.500,-0.028,0.000,0.000,0.000,0.000
0.407,2.500,-0.028,0.000,0.000,0.000,0.000
0.412,2.500,-0.028,0.000,0.000,0.000,0.000
0.415,2.500,-0.028,0.000,0.000,0.000,0.000
0.418,2.500,-0.028,0.000,0.000,0.000,0.000
0.423,2.500,-0.028,0.000,0.000,0.000,0.000
0.425,2.500,-0.028,0.000,0.000,0.000,0.000
0.428,2.500,-0.028,0.000,0.000,0.000,0.000
0.433,2.500,-0.028,0.000,0.000,0.000,0.000
0.437,2.500,-0.027,0.000,0.000,0.000,0.000
0.438,2.500,-0.027,0.000,0.000,0.000,0.000
0.444,2.500,-0.027,0.000,0.000,0.000,0.000
0.447,2.500,-0.027,0.000,0.000,0.000,0.000
0.450,2.500,-0.027,0.000,0.000,0.000,0.000
0.455,2.500,-0.027,0.000,0.000,0.000,0.000
0.456,2.500,-0.027,0.000,0.000,0.000,0.000
0.460,2.500,-0.026,0.000,0.000,0.000,0.000
0.464,2.500,-0.026,0.000,0.000,0.000,0.000
0.468,2.500,-0.026,0.000,0.000,0.000,0.000
0.471,2.500,-0.026,0.000,0.000,0.000,0.000
0.474,2.500,-0.026,0.000,0.000,0.000,0.000
0.480,2.500,-0.025,0.000,0.000,0.000,0.000
0.483,2.500,-0.025,0.000,0.000,0.000,0.000
0.485,2.500,-0.025,0.000,0.000,0.000,0.000
0.492,2.500,-0.025,0.000,0.000,0.000,0.000
0.495,2.500,-0.024,0.000,0.000,0.000,0.000
0.500,2.500,-0.024,0.000,0.000,0.000,0.000
0.503,2.500,-0.024,0.000,0.000,0.000,0.000
0.508,2.500,-0.024,0.000,0.000,0.000,0.000
0.513,2.500,-0.023,0.000,0.000,0.000,0.000
0.516,2.500,-0.023,0.000,0.000,0.000,0.000
0.519,2.500,-0.023,0.000,0.000,0.000,0.000
0.524,2.500,-0.022,0.000,0.000,0.000,0.000
0.527,2.500,-0.022,0.000,0.000,0.000,0.000
0.530,2.500,-0.022,0.000,0.000,0.000,0.000
0.535,2.500,-0.022,0.000,0.000,0.000,0.000
0.538,2.500,-0.021,0.000,0.000,0.000,0.000
0.541,2.500,-0.021,0.000,0.000,0.000,0.000
0.544,2.500,-0.021,0.000,0.000,0.000,0.000
0.549,2.500,-0.021,0.000,0.000,0.000,0.000
0.552,2.500,-0.020,0.000,0.000,0.000,0.000
0.555,2.500,-0.020,0.000,0.000,0.000,0.000
0.559,2.500,-0.020,0.000,0.000,0.000,0.000
0.562,2.500,-0.020,0.000,0.000,0.000,0.000
0.567,2.500,-0.019,0.000,0.000,0.000,0.000
0.570,2.500,-0.019,0.000,0.000,0.000,0.000
0.573,2.500,-0.019,0.000,0.000,0.000,0.000
0.578,2.500,-0.018,0.000,0.000,0.000,0.000
0.581,2.500,-0.018,0.000,0.000,0.000,0.000
0.584,2.500,-0.018,0.000,0.000,0.000,0.000
0.587,2.500,-0.018,0.000,0.000,0.000,0.000
0.592,2.500,-0.017,0.000,0.000,0.000,0.000
0.594,2.500,-0.017,0.000,0.000,0.000,0.000
0.599,2.500,-0.017,0.000,0.000,0.000,0.000
0.602,2.500,-0.016,0.000,0.000,0.000,0.000
0.605,2.500,-0.016,0.000,0.000,0.000,0.000
0.608,2.500,-0.016,0.000,0.000,0.000,0.000
0.613,2.500,-0.016,0.000,0.000,0.000,0.000
0.616,2.500,-0.015,0.000,0.000,0.000,0.000
0.619,2.500,-0.015,0.000,0.000,0.000,0.000
0.624,2.500,-0.015,0.000,0.000,0.000,0.000
0.627,2.500,-0.014,0.000,0.000,0.000,0.000
0.630,2.500,-0.014,0.000,0.000,0.000,0.000
0.635,2.500,-0.014,0.000,0.000,0.000,0.000
0.637,2.500,-0.014,0.000,0.000,0.000,0.000
0.640,2.500,-0.014,0.000,0.000,0.000,0.000
0.645,2.500,-0.013,0.000,0.000,0.000,0.000
0.648,2.500,-0.013,0.000,0.000,0.000,0.000
0.650,2.500,-0.013,0.000,0.000,0.000,0.000
0.656,2.500,-0.012,0.000,0.000,0.000,0.000
0.658,2.500,-0.012,0.000,0.000,0.000,0.000
0.662,2.500,-0.012,0.000,0.000,0.000,0.000
0.666,2.500,-0.012,0.000,0.000,0.000,0.000
0.669,2.500,-0.011,0.000,0.000,0.000,0.000
0.672,2.500,-0.011,0.000,0.000,0.000,0.000
0.675,2.500,-0.011,0.000,0.000,0.000,0.000
0.680,2.500,-0.011,0.000,0.000,0.000,0.000
0.683,2.500,-0.010,0.000,0.000,0.000,0.000
0.686,2.500,-0.010,0.000,0.000,0.000,0.000
0.690,2.500,-0.010,0.000,0.000,0.000,0.000
0.694,2.500,-0.010,0.000,0.000,0.000,0.000
0.696,2.500,-0.010,0.000,0.000,0.000,0.000
0.701,2.500,-0.009,0.000,0.000,0.000,0.000
