time,x,y,z,angle,steerValue,wheelAngle
4.449,2.500,0.100,0.000,0.000,0.000,0.000
4.449,2.500,0.100,0.000,0.000,0.000,0.000
4.469,2.500,0.098,0.000,0.000,0.000,0.000
4.494,2.500,0.091,0.000,0.000,0.000,0.000
4.516,2.500,0.079,0.000,0.000,0.000,0.000
4.538,2.500,0.062,0.000,0.000,0.000,0.000
4.549,2.500,0.054,0.000,0.000,0.000,0.000
4.561,2.500,0.046,0.000,0.000,0.000,0.000
4.572,2.500,0.038,0.000,0.000,0.000,0.000
4.583,2.500,0.031,0.000,0.000,0.000,0.000
4.594,2.500,0.025,0.000,0.000,0.000,0.000
4.605,2.500,0.019,0.000,0.000,0.000,0.000
4.616,2.500,0.013,0.000,0.000,0.000,0.000
4.628,2.500,0.008,0.000,0.000,0.000,0.000
4.639,2.500,0.004,0.000,0.000,0.000,0.000
4.650,2.500,0.000,0.000,0.000,0.000,0.000
4.661,2.500,-0.004,0.000,0.000,0.000,0.000
4.673,2.500,-0.008,0.000,0.000,0.000,0.000
4.683,2.500,-0.011,0.000,0.000,0.000,0.000
4.695,2.500,-0.014,0.000,0.000,0.000,0.000
4.706,2.500,-0.016,0.000,0.000,0.000,0.000
4.717,2.500,-0.019,0.000,0.000,0.000,0.000
4.728,2.500,-0.021,0.000,0.000,0.000,0.000
4.739,2.500,-0.022,0.000,0.000,0.000,0.000
4.751,2.500,-0.024,0.000,0.000,0.000,0.000
4.762,2.500,-0.025,0.000,0.000,0.000,0.000
4.773,2.500,-0.026,0.000,0.000,0.000,0.000
4.784,2.500,-0.027,0.000,0.000,0.000,0.000
4.795,2.500,-0.027,0.000,0.000,0.000,0.000
4.806,2.500,-0.028,0.000,0.000,0.000,0.000
4.817,2.500,-0.028,0.000,0.000,0.000,0.000
4.829,2.500,-0.028,0.000,0.000,0.000,0.000
4.840,2.500,-0.028,0.000,0.000,0.000,0.000
4.851,2.500,-0.028,0.000,0.000,0.000,0.000
4.862,2.500,-0.028,0.000,0.000,0.000,0.000
4.874,2.500,-0.028,0.000,0.000,0.000,0.000
4.885,2.500,-0.027,0.000,0.000,0.000,0.000
4.896,2.500,-0.027,0.000,0.000,0.000,0.000
