pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
223.863,372.019,1.80011,0,0,0.0564847,0,0,28.2423,0.0564847,-1.8282e-12,5.42011e-06,-3.63985e-06,-9.14101e-10,0.00271005,0,-4.5705e-07,1.35503,0,0,0,0,0,0
223.863,372.019,1.80034,-1.99847e-07,-6.74084e-14,0.112893,5.31531e-05,1.79285e-11,28.2043,0.112893,-5.48461e-12,1.62074e-05,-3.63985e-06,-1.8282e-09,0.00542011,0,-4.5705e-07,1.35503,0,0,0,1,0,0
223.863,372.019,1.80068,-1.09964e-06,-3.72575e-13,0.169302,0.000159008,5.38083e-11,28.2043,0.169302,-1.09692e-11,3.23093e-05,-3.63985e-06,-2.7423e-09,0.00813016,0,-4.5705e-07,1.35503,0,0,0,1,0,0
223.864,372.019,1.80113,0.0840507,3.12729e-08,0.22571,42.0272,1.56371e-05,28.2043,0.240852,2.24945e-11,3.75292e-05,-3.63985e-06,1.67319e-08,0.00276821,-4.62316e-10,9.73708e-06,-2.68098,-2.31158e-07,0,0,1,0,0
223.864,372.019,1.80169,0.07838,4.71734e-08,0.282124,-2.83472,7.9464e-06,28.2067,0.29281,7.523e-11,4.92036e-05,-3.63988e-06,2.63677e-08,0.00602158,-1.26453e-08,4.81792e-06,1.62669,-6.09149e-06,0,0,1,0,0
223.863,372.019,1.80237,-0.101038,1.48904e-08,0.338536,-89.7072,-1.61499e-05,28.2057,0.353292,9.43753e-11,0.000100816,-3.63995e-06,9.57269e-09,0.0260472,-3.65943e-08,-8.39751e-06,10.0128,-1.19745e-05,0,0,1,0,0
223.863,372.019,1.80316,-0.0962931,-1.63897e-09,0.394943,2.38098,-8.26425e-06,28.2059,0.406512,9.49286e-11,0.000156426,-3.64004e-06,2.76622e-10,0.0282988,-4.49907e-08,-4.64803e-06,1.12576,-4.19822e-06,0,0,1,0,0
223.863,372.019,1.80406,0.0925774,1.46624e-10,0.451348,94.4462,8.97029e-07,28.2054,0.460745,9.66327e-11,0.000180162,-3.64012e-06,8.52058e-10,0.0126456,-3.93381e-08,2.87718e-07,-7.82656,2.82631e-06,0,0,1,0,0
223.864,372.019,1.80508,0.0925548,1.45958e-09,0.507761,-0.00592408,6.52453e-07,28.205,0.516127,9.81668e-11,0.000209057,-3.64018e-06,7.67072e-10,0.0153557,-3.20152e-08,-4.24931e-08,1.35503,3.66147e-06,0,0,1,0,0
223.863,372.019,1.80621,-0.0963408,1.96761e-09,0.564173,-94.4405,2.50632e-07,28.2049,0.57234,1.01479e-10,0.000280153,-3.64023e-06,1.65609e-09,0.0366026,-2.46173e-08,4.44511e-07,10.6235,3.69891e-06,0,0,1,0,0
223.863,372.019,1.80745,-0.0963627,3.37036e-09,0.620576,0.00914225,7.02814e-07,28.2048,0.628013,1.04901e-10,0.000355947,-3.64027e-06,1.71084e-09,0.0393127,-1.96754e-08,2.73727e-08,1.35503,2.47096e-06,0,0,1,0,0
223.863,372.019,1.8088,0.0924803,4.19762e-09,0.676978,94.445,4.1448e-07,28.2047,0.683266,1.10369e-10,0.000398828,-3.64031e-06,2.73426e-09,0.0232708,-1.69845e-08,5.11708e-07,-8.02093,1.34548e-06,0,0,1,0,0
223.864,372.019,1.81027,0.0924488,4.08557e-09,0.733391,-0.00126768,-5.94529e-08,28.2046,0.739195,1.16214e-10,0.000446616,-3.64034e-06,2.92243e-09,0.0259808,-1.43048e-08,9.40886e-08,1.35502,1.33986e-06,0,0,1,0,0
223.863,372.019,1.81185,-0.0964585,4.0343e-09,0.789805,-94.4361,-2.91418e-08,28.2046,0.795673,1.23411e-10,0.00053732,-3.64036e-06,3.59866e-09,0.0476983,-1.07526e-08,3.38116e-07,10.8587,1.7761e-06,0,0,1,0,0
223.863,372.019,1.81354,-0.0965104,4.45587e-09,0.846205,0.0098773,2.08958e-07,28.2046,0.851691,1.30597e-10,0.000632466,-3.64037e-06,3.59277e-09,0.0504083,-8.81076e-09,-2.9448e-09,1.35503,9.709e-07,0,0,1,0,0
