pos_X,pos_Y,pos_Z,vel_X,vel_Y,vel_Z,acl_X,acl_Y,acl_Z,velocityroll_X,pitch_Y,yaw_Z,roll_X_rate,pitch_Y_rate,yaw_Z_rate,roll_X_acl,pitch_Y_acl,yaw_Z_acl,steerCmd,aclCmd,brakeCmd,clutchCmd,geraCmd
36.3279,101.917,0.200114,0,0,0.0569039,0,0,28.4519,0.0569039,-1.8282e-12,5.42011e-06,0.499996,-9.14101e-10,0.00271005,0,-4.5705e-07,1.35503,0,0,0,0,0,0
36.3279,101.917,0.200341,-2.02119e-07,-6.10294e-14,0.113716,5.31531e-05,1.79285e-11,28.406,0.113716,-5.48461e-12,1.62074e-05,0.499996,-1.8282e-09,0.00542011,0,-4.5705e-07,1.35503,0,0,0,1,0,0
36.3279,101.917,0.200682,-1.11076e-06,-3.79855e-13,0.170528,0.000159022,5.38103e-11,28.406,0.170528,-1.09692e-11,3.23093e-05,0.499996,-2.7423e-09,0.00813016,0,-4.5705e-07,1.35503,0,0,0,1,0,0
36.3281,101.917,0.201137,0.0985998,3.58688e-08,0.22734,49.3018,1.8347e-05,28.406,0.247801,2.35634e-11,3.48381e-05,0.499996,1.72663e-08,0.00142264,-7.62656e-11,1.00043e-05,-3.35376,-3.81328e-08,0,0,1,0,0
36.3283,101.918,0.201705,0.0919429,5.49517e-08,0.28416,-3.32817,9.45758e-06,28.4098,0.298664,8.22058e-11,4.40289e-05,0.499996,2.93212e-08,0.00476658,-1.41638e-08,6.02747e-06,1.67197,-7.04377e-06,0,0,1,0,0
36.328,101.917,0.202387,-0.118534,1.64092e-08,0.340977,-105.237,-1.88011e-05,28.4082,0.360993,9.54092e-11,9.89564e-05,0.499996,6.60166e-09,0.0276793,-3.98452e-08,-1.13598e-05,11.4564,-1.28407e-05,0,0,1,0,0
36.3278,101.917,0.203183,-0.112962,-2.10279e-09,0.397788,2.79524,-9.83283e-06,28.4086,0.413516,8.58426e-11,0.000157698,0.499996,-4.78329e-09,0.0298544,-5.05227e-08,-5.69248e-06,1.08752,-5.33874e-06,0,0,1,0,0
36.328,101.917,0.204092,0.108606,-5.89002e-09,0.454597,110.796,6.59626e-07,28.4078,0.46739,7.9958e-11,0.000178409,0.499996,-2.94231e-09,0.0111383,-4.52822e-08,9.20491e-07,-9.35803,2.62021e-06,0,0,1,0,0
36.3282,101.918,0.205115,0.108579,-4.36469e-09,0.511413,-0.00898446,4.43608e-07,28.4073,0.522813,7.72597e-11,0.000204306,0.499996,-1.34912e-09,0.0138484,-3.73951e-08,7.96596e-07,1.35503,3.94359e-06,0,0,1,0,0
36.328,101.917,0.206251,-0.113013,-3.3402e-09,0.56823,-110.789,2.71898e-07,28.407,0.57936,7.36517e-11,0.000278624,0.499996,-1.80404e-09,0.0381886,-2.81641e-08,-2.2746e-07,12.1701,4.61549e-06,0,0,1,0,0
36.3278,101.917,0.207501,-0.113032,-1.14758e-09,0.625036,0.0116768,7.64506e-07,28.4069,0.635174,7.11325e-11,0.000357611,0.499996,-1.25958e-09,0.0408986,-2.28974e-08,2.72231e-07,1.35503,2.63336e-06,0,0,1,0,0
36.328,101.917,0.208865,0.108505,-5.30492e-09,0.68184,110.794,8.72809e-07,28.4068,0.69042,6.9361e-11,0.000397389,0.499996,-8.85731e-10,0.0217258,-1.95923e-08,1.86922e-07,-9.58642,1.65253e-06,0,0,1,0,0
36.3282,101.918,0.210342,0.108472,-4.89845e-09,0.738658,-0.00336392,6.79139e-07,28.4066,0.74658,7.16978e-11,0.000442101,0.499996,1.16839e-09,0.0244358,-1.60005e-08,1.02706e-06,1.35502,1.79591e-06,0,0,1,0,0
36.328,101.917,0.211933,-0.11313,-2.20632e-09,0.795475,-110.784,4.26967e-07,28.4065,0.80348,7.50511e-11,0.00053612,0.499996,1.67663e-09,0.0493289,-1.23312e-08,2.54119e-07,12.4465,1.83466e-06,0,0,1,0,0
36.3278,101.917,0.213638,-0.113181,-1.23835e-09,0.852278,0.0117156,4.2861e-07,28.4065,0.85976,8.20328e-11,0.000634553,0.499996,3.49084e-09,0.052039,-1.02375e-08,9.07104e-07,1.35503,1.04684e-06,0,0,1,0,0
36.328,101.917,0.215456,0.108323,5.84729e-10,0.90908,110.794,3.39459e-07,28.4064,0.915511,9.12629e-11,0.000692166,0.499996,4.61505e-09,0.0322171,-7.77916e-09,5.62106e-07,-9.91093,1.22917e-06,0,0,1,0,0
36.3282,101.918,0.217388,0.108273,-1.39211e-09,0.965898,0.0013158,1.58152e-07,28.4063,0.971948,1.00492e-10,0.00075442,0.499996,4.61476e-09,0.0349272,-6.33472e-09,-1.44916e-10,1.35502,7.22217e-07,0,0,1,0,0
36.328,101.917,0.219433,-0.113346,2.48551e-09,1.02272,-110.78,5.82475e-08,28.4063,1.02898,1.1103e-10,0.000867227,0.499996,5.26859e-09,0.0605654,-4.23152e-09,3.26916e-07,12.8191,1.0516e-06,0,0,1,0,0
36.3278,101.917,0.221593,-0.113434,2.22434e-09,1.07952,0.0135575,2.49889e-07,28.4063,1.08546,1.2628e-10,0.000984156,0.499996,7.6251e-09,0.0632754,-2.95145e-09,1.17825e-06,1.35503,6.40038e-07,0,0,1,0,0
36.328,101.917,0.223865,0.108032,2.33469e-09,1.13632,110.796,-1.16458e-07,28.4063,1.14144,1.38716e-10,0.00105821,0.499996,6.21822e-09,0.0426123,-1.03307e-09,-7.0344e-07,-10.3315,9.5919e-07,0,0,1,0,0
36.3282,101.918,0.226251,0.10796,6.91385e-10,1.19314,0.00599461,-3.60396e-07,28.4062,1.19801,1.49081e-10,0.00113658,0.499996,5.18233e-09,0.0453224,-1.07039e-09,-5.17948e-07,1.35503,-1.86618e-08,0,0,1,0,0
36.328,101.917,0.228751,-0.113683,1.20588e-09,1.24996,-110.775,-9.6996e-08,28.4062,1.25512,1.53854e-10,0.00126709,0.499996,2.38671e-09,0.0718979,-1.59989e-09,-1.39781e-06,13.2877,-2.64747e-07,0,0,1,0,0
36.3278,101.917,0.231365,-0.113813,1.87462e-09,1.30676,0.0165808,-1.83529e-07,28.4062,1.3117,1.56711e-10,0.00140141,0.499996,1.42842e-09,0.0746079,-1.8388e-09,-4.79143e-07,1.35503,-1.19456e-07,0,0,1,0,0
36.328,101.917,0.234092,0.10761,5.87102e-09,1.36355,110.8,-3.39459e-07,28.4062,1.36779,1.57964e-10,0.00149035,0.499996,6.26313e-10,0.0529114,-3.51463e-09,-4.01053e-07,-10.8482,-8.37918e-07,0,0,1,0,0
36.3282,101.918,0.236932,0.107511,3.50679e-09,1.42037,0.0109667,-3.77772e-07,28.4062,1.42444,1.55919e-10,0.00158322,0.499996,-1.02241e-09,0.0556215,-3.51565e-09,-8.2436e-07,1.35503,-5.0927e-10,0,0,1,0,0
36.328,101.917,0.239887,-0.114161,-3.97629e-10,1.4772,-110.77,-2.91022e-07,28.4061,1.4816,1.52427e-10,0.00173021,0.499996,-1.74612e-09,0.0833264,-2.19664e-09,-3.61854e-07,13.8525,6.59506e-07,0,0,1,0,0
